"expID","subID","eye","targetCategory","targetID","quadrant","breakTime","flag","outlier","pairedID"
"Binary","4","Left","Inverted",28,"Right",4.4540338,0,0,"B08"
"Binary","4","Left","Inverted",36,"Left",2.2183312,0,0,"B16"
"Binary","4","Left","Inverted",27,"Left",4.676148,0,0,"B07"
"Binary","4","Left","Inverted",28,"Left",4.6345049,0,0,"B08"
"Binary","4","Left","Inverted",25,"Left",4.0675608,0,0,"B05"
"Binary","4","Left","Inverted",32,"Right",3.8546085,0,0,"B12"
"Binary","4","Left","Inverted",31,"Left",3.8484905,0,0,"B11"
"Binary","4","Left","Upright",5,"Left",4.9489386,0,0,"A05"
"Binary","4","Left","Upright",19,"Left",3.5980371,0,0,"A19"
"Binary","4","Left","Inverted",26,"Left",2.0030708,0,0,"B06"
"Binary","4","Left","Upright",20,"Right",2.4062419,0,0,"A20"
"Binary","4","Left","Inverted",33,"Right",4.4446726,0,0,"B13"
"Binary","4","Left","Upright",13,"Left",5.4009981,0,0,"A13"
"Binary","4","Left","Upright",14,"Right",2.6515939,0,0,"A14"
"Binary","4","Left","Upright",17,"Left",3.0530249,0,0,"A17"
"Binary","4","Left","Upright",9,"Left",2.1842319,0,0,"A09"
"Binary","4","Left","Upright",6,"Right",4.0358226,0,0,"A06"
"Binary","4","Left","Inverted",21,"Right",2.9772652,0,0,"B01"
"Binary","4","Left","Inverted",22,"Left",3.6811437,0,0,"B02"
"Binary","4","Left","Upright",10,"Left",6.9456279,0,0,"A10"
"Binary","4","Left","Upright",1,"Left",5.2863306,0,0,"A01"
"Binary","4","Left","Inverted",24,"Left",4.3967132,0,0,"B04"
"Binary","4","Left","Upright",15,"Left",4.3841042,0,0,"A15"
"Binary","4","Left","Upright",18,"Right",3.8447859,0,0,"A18"
"Binary","4","Left","Inverted",40,"Right",4.1152525,0,0,"B20"
"Binary","4","Left","Upright",2,"Right",2.1996659,0,0,"A02"
"Binary","4","Left","Upright",6,"Left",4.7571246,0,0,"A06"
"Binary","4","Left","Upright",20,"Left",2.949252,0,0,"A20"
"Binary","4","Left","Upright",16,"Right",7.0348587,0,0,"A16"
"Binary","4","Left","Upright",2,"Left",3.2469204,0,0,"A02"
"Binary","4","Left","Inverted",22,"Right",4.2264889,0,0,"B02"
"Binary","4","Left","Inverted",34,"Left",2.7996026,0,0,"B14"
"Binary","4","Left","Upright",15,"Right",2.8351012,0,0,"A15"
"Binary","4","Left","Upright",11,"Left",3.7921457,0,0,"A11"
"Binary","4","Left","Inverted",35,"Left",2.237709,0,0,"B15"
"Binary","4","Left","Upright",5,"Right",7.8730139,0,0,"A05"
"Binary","4","Left","Inverted",27,"Right",3.0989394,0,0,"B07"
"Binary","4","Left","Inverted",21,"Left",1.2287814,0,0,"B01"
"Binary","4","Left","Upright",11,"Right",2.3518051,0,0,"A11"
"Binary","4","Left","Upright",7,"Left",1.3001316,0,0,"A07"
"Binary","4","Left","Inverted",24,"Right",3.9799671,0,0,"B04"
"Binary","4","Left","Upright",8,"Left",2.3534278,0,0,"A08"
"Binary","4","Left","Upright",12,"Left",1.612445,0,0,"A12"
"Binary","4","Left","Upright",18,"Left",5.1272789,0,0,"A18"
"Binary","4","Left","Upright",19,"Right",2.6890698,0,0,"A19"
"Binary","4","Left","Upright",12,"Right",2.6875695,0,0,"A12"
"Binary","5","Right","Inverted",31,"Left",6.456152,0,0,"B11"
"Binary","5","Right","Inverted",22,"Left",15,1,NA,"B02"
"Binary","5","Right","Inverted",27,"Right",11.1898087,0,0,"B07"
"Binary","5","Right","Inverted",40,"Right",15,1,NA,"B20"
"Binary","5","Right","Upright",8,"Right",9.109748,0,0,"A08"
"Binary","5","Right","Inverted",21,"Left",15,1,NA,"B01"
"Binary","5","Right","Inverted",30,"Left",8.2945826,0,0,"B10"
"Binary","5","Right","Inverted",33,"Left",7.7725877,0,0,"B13"
"Binary","5","Right","Inverted",34,"Left",12.5687801,0,1,"B14"
"Binary","5","Right","Upright",13,"Left",11.000943,0,0,"A13"
"Binary","5","Right","Inverted",39,"Right",8.6869708,1,NA,"B19"
"Binary","5","Right","Inverted",23,"Right",11.6331038,1,NA,"B03"
"Binary","5","Right","Inverted",23,"Left",9.1794807,0,0,"B03"
"Binary","5","Right","Inverted",38,"Right",12.7006007,1,NA,"B18"
"Binary","5","Right","Inverted",24,"Left",10.4304438,1,NA,"B04"
"Binary","5","Right","Upright",8,"Left",10.4826049,0,0,"A08"
"Binary","5","Right","Inverted",25,"Left",8.215688,0,0,"B05"
"Binary","5","Right","Upright",20,"Left",4.5077892,0,0,"A20"
"Binary","5","Right","Upright",9,"Left",6.1476428,0,0,"A09"
"Binary","5","Right","Inverted",25,"Right",8.2067493,0,0,"B05"
"Binary","5","Right","Inverted",30,"Right",9.4333008,0,0,"B10"
"Binary","5","Right","Upright",5,"Left",3.2406406,0,0,"A05"
"Binary","5","Right","Upright",15,"Right",4.1370177,0,0,"A15"
"Binary","5","Right","Inverted",33,"Right",2.5995392,0,0,"B13"
"Binary","5","Right","Upright",14,"Right",3.3789696,0,0,"A14"
"Binary","5","Right","Upright",16,"Right",3.5458964,0,0,"A16"
"Binary","5","Right","Upright",11,"Left",2.4131191,0,0,"A11"
"Binary","5","Right","Upright",13,"Right",2.5107976,0,0,"A13"
"Binary","5","Right","Inverted",28,"Left",2.7072174,0,0,"B08"
"Binary","5","Right","Upright",6,"Left",3.0651356,0,0,"A06"
